id,assert_type,subject,predicate,object
L20252,relationship,I2007,mentioned in,D20252
L20253,relationship,I2007,mentioned in,D170013
L20254,relationship,I2008,mentioned in,D20254
L20255,relationship,I2008,mentioned in,D20255
L20256,relationship,I2009,mentioned in,D20256
L20257,relationship,I2009,mentioned in,D20257
L20258,relationship,I2010,mentioned in,D160093
L20261,relationship,I2011,mentioned in,D20261
L20262,relationship,I2011,mentioned in,D20262
L20263,relationship,I2011,mentioned in,D20263
L20264,relationship,I2011,mentioned in,D20264
L20265,relationship,I2011,mentioned in,D190946
L20266,relationship,I2011,mentioned in,D30019
L20267,relationship,I2011,mentioned in,D20607
L20268,relationship,I2011,mentioned in,D20479
L20269,relationship,I2011,mentioned in,D20269
L20270,relationship,I2012,mentioned in,D20270
L20271,relationship,I2012,mentioned in,D20274
L20272,relationship,I2012,mentioned in,D20272
L20273,relationship,I2012,mentioned in,D20273
L20274,relationship,I2013,mentioned in,D20274
L20275,relationship,I2014,mentioned in,D80209
L20276,relationship,I2014,mentioned in,D21281
L20277,relationship,I2014,mentioned in,D110127
L20278,relationship,I2015,mentioned in,D20668
L20279,relationship,I2015,mentioned in,D20279
L20280,relationship,I2015,mentioned in,D20280
L20281,relationship,I2016,mentioned in,D20281
L20282,relationship,I2017,mentioned in,D20282
L20283,relationship,I2018,mentioned in,D170516
L20284,relationship,I2019,mentioned in,D21294
L20285,relationship,I2020,mentioned in,D20290
L20286,relationship,I2021,mentioned in,D20286
L20287,relationship,I2021,mentioned in,D20287
L20288,relationship,I2021,mentioned in,D20288
L20289,relationship,I2021,mentioned in,D230901
L20290,relationship,I2022,mentioned in,D20290
L20291,relationship,I2023,mentioned in,D170382
L20292,relationship,I2023,mentioned in,D20292
L20293,relationship,I2024,mentioned in,D20293
L20294,relationship,I2025,mentioned in,D230042
L20295,relationship,I2025,mentioned in,D20295
L20296,relationship,I2026,mentioned in,D60408
L20297,relationship,I2027,mentioned in,D20297
L20298,relationship,I2028,mentioned in,D20298
L20299,relationship,I2029,mentioned in,D20299
L20300,relationship,I2029,mentioned in,D250037
L20301,relationship,I2030,mentioned in,D20301
L20302,relationship,I2031,mentioned in,D130803
L20303,relationship,I2032,mentioned in,D20303
L20304,relationship,I2033,mentioned in,D130268
L20306,relationship,I2035,mentioned in,D110629
L20307,relationship,I2036,mentioned in,D20307
L20308,relationship,I2037,mentioned in,D20308
L20309,relationship,I2037,mentioned in,D20309
L20310,relationship,I2038,mentioned in,D20310
L20311,relationship,I2038,mentioned in,D20311
L20312,relationship,I2039,mentioned in,D20312
L20313,relationship,I2040,mentioned in,D20315
L20314,relationship,I2041,mentioned in,D20315
L20315,relationship,I2042,mentioned in,D20315
L20316,relationship,I2043,mentioned in,D190179
L20317,relationship,I2043,mentioned in,D20317
L20318,relationship,I2043,mentioned in,D20318
L20319,relationship,I2044,mentioned in,D20319
L20320,relationship,I2045,mentioned in,D191522
L20321,relationship,I2046,mentioned in,D10098
L20322,relationship,I2047,mentioned in,D231038
L20323,relationship,I2048,mentioned in,D130665
L20324,relationship,I2049,mentioned in,D20324
L20325,relationship,I2050,mentioned in,D20325
